Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,North America,330970517,2462554,,124281,,1040605,,1297668,16541,7440,376,30059864,90823,Americas
Brazil,South America,212533446,1192474,,53874,,649908,,488692,8318,5611,253,2751953,12948,Americas
Russia,Europe,145933597,606881,,8513,,368822,,229546,2300,4159,58,17803955,122000,Europe
India,Asia,1379752264,473105,120,14907,,271697,9,186501,8944,343,11,7560782,5480,South-EastAsia
UK,Europe,67880218,306862,,43081,,,,,311,4521,635,8542186,125842,Europe
Spain,Europe,46754528,294166,,28327,,,,,617,6292,606,5162909,110426,Europe
Peru,South America,32962343,264689,,8586,,151589,,104514,1166,8030,260,1561653,47377,Americas
Chile,South America,19113257,254416,,4731,,215093,,34592,2046,13311,248,1007635,52719,Americas
Italy,Europe,60462972,239410,,34644,,186111,,18655,107,3960,573,5107093,84466,Europe
Iran,Asia,83971321,212501,,9996,,172096,,30409,2869,2531,119,1502525,17893,EasternMediterranean
Mexico,North America,128907110,196847,5437,24324,947,149318,4870,23205,378,1527,189,515658,4000,Americas
Germany,Europe,83779867,193254,,9003,,176300,,7951,331,2307,107,5412655,64606,Europe
Pakistan,Asia,220791105,192970,4044,3903,148,81307,3553,107760,3003,874,18,1171976,5308,EasternMediterranean
Turkey,Asia,84321768,191657,,5025,,164234,,22398,914,2273,60,3083121,36564,Europe
Saudi Arabia,Asia,34802177,167267,,1387,,112797,,53083,2129,4806,40,1407508,40443,EasternMediterranean
France,Europe,65271385,161348,,29731,,75127,,56490,658,2472,455,1384633,21213,Europe
Bangladesh,Asia,164658783,122660,,1582,,49666,,71412,1,745,10,663444,4029,South-EastAsia
South Africa,Africa,59293721,111796,,2205,,56874,,52717,539,1885,37,1416894,23896,Africa
Canada,North America,37736186,102242,,8484,,65091,,28667,2058,2709,225,2518650,66744,Americas
Qatar,Asia,2807805,90778,,104,,73083,,17591,219,32331,37,333172,118659,EasternMediterranean
Colombia,South America,50872582,77113,,2491,,31671,,42951,335,1516,49,651592,12808,Americas
Sweden,Europe,10098211,62324,,5209,,,,,193,6172,516,444607,44028,Europe
Belgium,Europe,11588827,60898,,9722,,16771,,34405,41,5255,839,1145258,98824,Europe
Belarus,Europe,9449365,59945,,362,,40136,,19447,89,6344,38,901904,95446,Europe
Egypt,Africa,102289420,59561,,2450,,15935,,41176,41,582,24,135000,1320,EasternMediterranean
Ecuador,South America,17637330,51643,,4274,,24991,,22378,273,2928,242,139333,7900,Americas
Argentina,South America,45188207,49851,,1116,,13816,,34919,353,1103,25,300345,6647,Americas
Netherlands,Europe,17134314,49804,,6097,,,,,48,2907,356,561863,32792,Europe
Indonesia,Asia,273468761,49009,,2573,,19658,,26778,,179,9,689452,2521,South-EastAsia
UAE,Asia,9888042,46133,,307,,34405,,11421,1,4666,31,3038000,307240,EasternMediterranean
Singapore,Asia,5849533,42623,,26,,36299,,6298,1,7287,4,684359,116994,WesternPacific
Kuwait,Asia,4269235,41879,,337,,32809,,8733,153,9809,79,365224,85548,EasternMediterranean
Portugal,Europe,10197071,40104,,1543,,26083,,12478,73,3933,151,1102066,108077,Europe
Ukraine,Europe,43736564,39014,,1051,,17409,,20554,367,892,24,594002,13581,Europe
Iraq,Asia,40199726,36702,,1330,,16814,,18558,222,913,33,455316,11326,EasternMediterranean
Oman,Asia,5103139,33536,,142,,17972,,15422,100,6572,28,169105,33137,EasternMediterranean
Poland,Europe,37847153,32821,,1396,,18134,,13291,65,867,37,1399647,36982,Europe
Philippines,Asia,109551348,32295,,1204,,8656,,22435,82,295,11,631063,5760,WesternPacific
Switzerland,Europe,8653528,31376,,1958,,29000,,418,12,3626,226,523909,60543,Europe
Afghanistan,Asia,38906194,29640,,639,,9869,,19132,19,762,16,67282,1729,EasternMediterranean
Dominican Republic,North America,10845878,28631,,691,,16006,,11934,182,2640,64,133718,12329,Americas
Panama,North America,4313296,28030,,547,,14794,,12689,130,6499,127,111735,25905,Americas
